read_acc,fragment_id,start,stop,edit_distance
sim_rand_34, 14nt_2, 184, 202, 3
sim_rand_34, 14nt_1, 894, 912, 4
sim_rand_39, 18nt_2, 394, 416, 5
sim_rand_76, 16nt_2, 383, 405, 5
sim_rand_96, 14nt_1, 586, 604, 4
sim_rand_106, 16nt_2, 405, 427, 5
sim_rand_106, 14nt_2, 954, 971, 3
sim_rand_146, 14nt_2, 704, 720, 3
sim_rand_157, 14nt_2, 735, 754, 4
sim_rand_158, 14nt_1, 177, 196, 4
sim_rand_226, 5mer_4, 247, 278, 7
sim_rand_238, 14nt_2, 617, 635, 4
sim_rand_242, 16nt_1, 815, 834, 4
sim_rand_294, 14nt_2, 9, 28, 4
sim_rand_296, 14nt_1, 480, 497, 3
sim_rand_314, 18nt_1, 115, 137, 5
sim_rand_383, 18nt_2, 806, 829, 5
sim_rand_410, 14nt_2, 533, 551, 4
sim_rand_438, 14nt_1, 141, 158, 3
sim_rand_453, 4mer_3, 949, 979, 7
sim_rand_461, 16nt_1, 607, 628, 4
sim_rand_515, 14nt_1, 70, 88, 4
sim_rand_534, 16nt_1, 171, 189, 4
sim_rand_572, 14nt_2, 924, 942, 4
sim_rand_637, 14nt_2, 377, 395, 4
sim_rand_660, 14nt_2, 245, 263, 4
sim_rand_668, 14nt_2, 620, 639, 4
sim_rand_694, 14nt_2, 193, 212, 4
sim_rand_724, 14nt_1, 488, 506, 4
sim_rand_735, 14nt_2, 500, 518, 4
sim_rand_773, 14nt_2, 311, 330, 4
sim_rand_778, 16nt_2, 678, 700, 5
sim_rand_780, 14nt_1, 956, 974, 4
sim_rand_788, 16nt_1, 790, 812, 5
sim_rand_815, 14nt_1, 280, 298, 4
sim_rand_821, 14nt_2, 436, 456, 4
sim_rand_834, 14nt_1, 355, 373, 4
sim_rand_841, 14nt_2, 508, 528, 3
sim_rand_846, 14nt_1, 634, 653, 4
sim_rand_872, 14nt_2, 47, 65, 4
sim_rand_909, 14nt_1, 748, 767, 4
sim_rand_925, 18nt_1, 583, 607, 5
sim_rand_993, 14nt_2, 524, 544, 4
